,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,513,21561,20,,,,,,,,,,,,,,,,,,,,,,21561
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,19759,21561,60,53,53,53,,,,,,,,,,,,,,,,,,,21561
10.30.219.139,8.8.8.8,s-iavs9x.avcdn.net,1095,21560,5,,,,,,,,,,,,,,,,,,,,,,21560
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21560,260,260,,,,,,,,,,,,,,,,,,,,,,21560
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,512,21560,20,20,,,,,,,,,,,,,,,,,,,,,21560
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,512,21560,20,20,,,,,,,,,,,,,,,,,,,,,21560
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21560,260,260,,,,,,,,,,,,,,,,,,,,,,21560
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21559,259,259,,,,,,,,,,,,,,,,,,,,,,21559
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,20206,21559,60,29,29,29,,,,,,,,,,,,,,,,,,,21559
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21557,257,257,,,,,,,,,,,,,,,,,,,,,,21557
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21557,81,81,,,,,,,,,,,,,,,,,,,,,,21557
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21556,256,256,,,,,,,,,,,,,,,,,,,,,,21556
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21556,256,256,,,,,,,,,,,,,,,,,,,,,,21556
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21555,255,255,,,,,,,,,,,,,,,,,,,,,,21555
